CdrNo,B Party,Date,Time,Duration,Call Type,First Cell ID,First Cell ID Address,Last Cell ID,Last Cell ID Address,IMEI,IMSI,Roaming,Main City(First CellID),Sub City (First CellID),Lat-Long-Azimuth (First CellID),Crime,Circle,Operator,LRN,CallForward,B Party Provider,B Party Circle,B Party Operator,Type,IMEI Manufacturer
9425123456,TM-ITDCPC,01/01/2025,14:38:26,0,IN,40458733132021,"Ind-017A_Nok_Mhowex, Telphone Exchange Mhow Dist: Indore",40458733132021,MP_IND_017A_NOK_MhowEx_1W,352273367377960,404582120118750,MP,,,"22.55807, 75.75746",defamation,,,,,,,,SMS,
9425123456,BZ-INPOST,01/01/2025,14:43:27,0,IN,40458733132021,"Ind-017A_Nok_Mhowex, Telphone Exchange Mhow Dist: Indore",40458733132021,MP_IND_017A_NOK_MhowEx_1W,352273367377960,404582120118750,MP,,,"22.55807, 75.75746",defamation,,,,,,,,SMS,
9425123456,1111444420,01/01/2025,15:28:23,31,IN,40458733132021,"Ind-017A_Nok_Mhowex, Telphone Exchange Mhow Dist: Indore",40458733132021,MP_IND_017A_NOK_MhowEx_1W,352273367377960,404582120118750,MP,,,"22.55807, 75.75746",defamation,,,,,,,,VOICE,
9425123456,2222444477,01/01/2025,22:37:41,67,IN,40458733132021,"Ind-017A_Nok_Mhowex, Telphone Exchange Mhow Dist: Indore",40458733132021,MP_IND_017A_NOK_MhowEx_1W,352273367377960,404582120118750,MP,,,"22.55807, 75.75746",defamation,,,,,,,,VOICE,
9425123456,3333444455,01/01/2025,22:41:06,0,IN,40458733132021,"Ind-017A_Nok_Mhowex, Telphone Exchange Mhow Dist: Indore",40458733132021,MP_IND_017A_NOK_MhowEx_1W,352273367377960,404582120118750,MP,,,"22.55807, 75.75746",defamation,,,,,,,,SMS,
9425123456,JX-ICICIO,01/01/2025,22:55:08,0,IN,40458733132021,"Ind-017A_Nok_Mhowex, Telphone Exchange Mhow Dist: Indore",40458733132021,MP_IND_017A_NOK_MhowEx_1W,352273367377960,404582120118750,MP,,,"22.55807, 75.75746",defamation,,,,,,,,SMS,
9425123456,JD-ICICIT,01/01/2025,22:55:46,0,IN,40458733132021,"Ind-017A_Nok_Mhowex, Telphone Exchange Mhow Dist: Indore",40458733132021,MP_IND_017A_NOK_MhowEx_1W,352273367377960,404582120118750,MP,,,"22.55807, 75.75746",defamation,,,,,,,,SMS,
9425123456,JD-ICICIT,01/01/2025,22:55:50,0,IN,40458733132021,"Ind-017A_Nok_Mhowex, Telphone Exchange Mhow Dist: Indore",40458733132021,MP_IND_017A_NOK_MhowEx_1W,352273367377960,404582120118750,MP,,,"22.55807, 75.75746",defamation,,,,,,,,SMS,
9425123456,7354199696,02/01/2025,13:50:27,49,IN,40458733132021,"Ind-017A_Nok_Mhowex, Telphone Exchange Mhow Dist: Indore",40458733132021,MP_IND_017A_NOK_MhowEx_1W,352273367377960,404582120118750,MP,,,"22.55807, 75.75746",defamation,,,,,,,,VOICE,
9425123456,BZ-INBSNL,03/01/2025,2:09:38,0,IN,40458501433961,,40458501433961,MP_UJJ_107R_PipaliaRagho_11,352273367377960,404582120118750,MP,,,,defamation,,,,,,,,SMS,
